reviewId,userName,score,content,thumbsUpCount,at
03886b9c-6a14-4e77-84a3-103bb2c8f301,Pengguna Google,5,"sangat bagus,cepat,bisa di bacakan oleh cici ai ini,jyga bisa membuat foto ai bersama idola",0,2025-09-14 08:14:05
297938a9-894e-4637-84b4-a6bcec2eb6fa,Pengguna Google,1,bagusan Chatgpt,0,2025-09-14 07:59:42
e65a8526-d821-4976-807e-c44d3f0c8a41,Pengguna Google,4,sangat baik,0,2025-09-14 07:33:58
749311a0-35bd-43a2-8381-b0b0162cb65a,Pengguna Google,1,jelek,0,2025-09-14 07:28:51
9ae46c67-e82d-4d5f-991e-b947f8cfad70,Pengguna Google,5,bagus aku suka buat cerita di ai anj seru soalnya dan Yap aku ingin protes sih ahli nyinyir itu bikin saya kesel tau!🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬😞😞😞😞,0,2025-09-14 07:05:54
becce02b-5360-4b31-a1be-72b2548eef8d,Pengguna Google,5,karena pakek ciici gratis,0,2025-09-14 06:58:33
50634ea4-df85-4df7-a2a5-407c8b171fd9,Pengguna Google,5,sangatembantu dan bisa menjadi teman mengobrol,0,2025-09-14 06:28:37
e9309849-a4af-4cca-ba85-a26395f3cbb2,Pengguna Google,5,"Cici makasih ya udah bantuin kami semua,karena cici aku bisa belajar dengan serius dan pas belajar aku bisa tau pelajaran yang aku pelajarin bareng Cici,makasih ya Cici kalo gak ada cici paling aku gak semangat kalo belajar dan mengajar,karena ada cici aku bersyukur banget,makasih ya Cici udah ngajarin aku 😊😊😊😊😊😊",0,2025-09-14 06:19:26
7f097510-2f90-4653-8cee-c6b4c226a4da,Pengguna Google,3,jujurrr siiii bagussss bangetttt tapi GAMPANG NGEBUGGGGGGGG itu aja si,0,2025-09-14 06:06:40
ac901dc9-c521-47cf-b1a4-ed0220f56d22,Pengguna Google,5,ada sahabat seru diaplikasi Cici,0,2025-09-14 06:03:48
cb051ae7-56e2-432c-8932-db31a452dadb,Pengguna Google,4,karena mendapatkan memberikan pelayanan terbaik,0,2025-09-14 06:00:18
